Timestamp,Value
2015-10-26 05:30:00,1.5361
2015-10-27 05:30:00,1.5312
2015-10-28 05:30:00,1.5319
2015-10-29 05:30:00,1.5296
2015-10-30 05:30:00,1.5445
2015-11-02 05:30:00,1.5428
2015-11-03 05:30:00,1.5404
2015-11-04 05:30:00,1.5377
2015-11-05 05:30:00,1.5236
2015-11-06 05:30:00,1.5071
2015-11-09 05:30:00,1.5124
2015-11-10 05:30:00,1.511
2015-11-11 05:30:00,None
2015-11-12 05:30:00,1.5206
2015-11-13 05:30:00,1.5208
2015-11-16 05:30:00,1.5204
2015-11-17 05:30:00,1.5214
2015-11-18 05:30:00,1.521
2015-11-19 05:30:00,1.5327
2015-11-20 05:30:00,1.5199
2015-11-23 05:30:00,1.5125
2015-11-24 05:30:00,1.5057
2015-11-25 05:30:00,1.5109
2015-11-26 05:30:00,None
2015-11-27 05:30:00,1.504
2015-11-30 05:30:00,1.5044
2015-12-02 05:30:00,1.4927
2015-12-03 05:30:00,1.5088
2015-12-04 05:30:00,1.51
2015-12-07 05:30:00,1.5076
2015-12-08 05:30:00,1.5
2015-12-09 05:30:00,1.5168
2015-12-10 05:30:00,1.5176
2015-12-14 05:30:00,1.513
2015-12-15 05:30:00,1.5044
2015-12-16 05:30:00,1.5013
2015-12-17 05:30:00,1.4876
2015-12-18 05:30:00,1.4914
2015-12-22 05:30:00,1.4811
2015-12-23 05:30:00,1.4863
2015-12-24 05:30:00,1.4943
2015-12-25 05:30:00,None
2015-12-28 05:30:00,1.4883
2015-12-29 05:30:00,1.4794
2015-12-30 05:30:00,1.4832
2016-01-01 05:30:00,None
2016-01-04 05:30:00,1.4686
2016-01-05 05:30:00,1.4664
2016-01-06 05:30:00,1.4626
2016-01-07 05:30:00,1.4579
2016-01-08 05:30:00,1.4523
2016-01-11 05:30:00,1.4564
2016-01-12 05:30:00,1.4403
2016-01-13 05:30:00,1.447
2016-01-14 05:30:00,1.4409
2016-01-15 05:30:00,1.4289
2016-01-18 05:30:00,None
2016-01-19 05:30:00,1.4171
2016-01-20 05:30:00,1.4167
2016-01-21 05:30:00,1.4198
2016-01-22 05:30:00,1.4308
2016-01-25 05:30:00,1.4245
2016-01-26 05:30:00,1.4342
2016-01-27 05:30:00,1.4261
2016-01-28 05:30:00,1.4351
2016-01-29 05:30:00,1.4184
2016-02-01 05:30:00,1.4367
2016-02-02 05:30:00,1.4399
2016-02-03 05:30:00,1.4576
2016-02-04 05:30:00,1.458
2016-02-05 05:30:00,1.4468
2016-02-08 05:30:00,1.4415
2016-02-10 05:30:00,1.4473
2016-02-11 05:30:00,1.4448
2016-02-12 05:30:00,1.446
2016-02-15 05:30:00,None
2016-02-16 05:30:00,1.429
2016-02-17 05:30:00,1.4317
2016-02-18 05:30:00,1.4333
2016-02-22 05:30:00,1.4157
2016-02-23 05:30:00,1.404
2016-02-24 05:30:00,1.3932
2016-02-25 05:30:00,1.3937
2016-02-26 05:30:00,1.3867
2016-03-01 05:30:00,1.3948
2016-03-02 05:30:00,1.4059
2016-03-03 05:30:00,1.4152
2016-03-04 05:30:00,1.4226
2016-03-07 05:30:00,1.4256
2016-03-08 05:30:00,1.4225
2016-03-09 05:30:00,1.4236
2016-03-11 05:30:00,1.4426
2016-03-14 05:30:00,1.4324
2016-03-15 05:30:00,1.4166
2016-03-16 05:30:00,1.41
2016-03-17 05:30:00,1.449
2016-03-18 05:30:00,1.4514
2016-03-21 05:30:00,1.4402
2016-03-22 05:30:00,1.4217
2016-03-23 05:30:00,1.4111
2016-03-24 05:30:00,1.4143
2016-03-25 05:30:00,1.4131
2016-03-28 05:30:00,1.425
2016-03-29 05:30:00,1.4281
2016-03-30 05:30:00,1.439
2016-03-31 05:30:00,1.4381
2016-04-01 05:30:00,1.4204
2016-04-04 05:30:00,1.4279
2016-04-05 05:30:00,1.4149
2016-04-06 05:30:00,1.4162
2016-04-07 05:30:00,1.4082
2016-04-08 05:30:00,1.4105
2016-04-11 05:30:00,1.424
2016-04-12 05:30:00,1.4244
2016-04-13 05:30:00,1.4223
2016-04-14 05:30:00,1.4148
2016-04-15 05:30:00,1.4217
2016-04-18 05:30:00,1.4276
2016-04-20 05:30:00,1.4375
2016-04-21 05:30:00,1.4338
2016-04-22 05:30:00,1.439
2016-04-25 05:30:00,1.4492
2016-04-26 05:30:00,1.4611
2016-04-27 05:30:00,1.4554
2016-04-28 05:30:00,1.4581
2016-05-02 05:30:00,1.4666
2016-05-03 05:30:00,1.4543
2016-05-04 05:30:00,1.4475
2016-05-05 05:30:00,1.4486
2016-05-06 05:30:00,1.4439
2016-05-10 05:30:00,1.4454
2016-05-11 05:30:00,1.448
2016-05-12 05:30:00,1.4452
2016-05-13 05:30:00,1.4369
2016-05-16 05:30:00,1.4411
2016-05-17 05:30:00,1.4485
2016-05-18 05:30:00,1.4615
2016-05-20 05:30:00,1.4513
2016-05-23 05:30:00,1.4444
2016-05-24 05:30:00,1.4623
2016-05-25 05:30:00,1.4694
2016-05-26 05:30:00,1.4673
2016-05-27 05:30:00,1.4644
2016-05-30 05:30:00,None
2016-05-31 05:30:00,1.453
2016-06-01 05:30:00,1.4395
2016-06-02 05:30:00,1.4419
2016-06-03 05:30:00,1.4521
2016-06-06 05:30:00,1.445
2016-06-07 05:30:00,1.4564
2016-06-08 05:30:00,1.4546
2016-06-09 05:30:00,1.4467
2016-06-10 05:30:00,1.4342
2016-06-13 05:30:00,1.4223
2016-06-14 05:30:00,1.413
2016-06-15 05:30:00,1.4185
2016-06-16 05:30:00,1.4075
2016-06-17 05:30:00,1.4285
2016-06-20 05:30:00,1.4688
2016-06-21 05:30:00,1.4668
2016-06-22 05:30:00,1.4682
2016-06-23 05:30:00,1.48
2016-06-24 05:30:00,1.3639
2016-06-27 05:30:00,1.3217
2016-06-29 05:30:00,1.351
2016-06-30 05:30:00,1.3242
2016-07-01 05:30:00,1.3281
2016-07-04 05:30:00,None
2016-07-05 05:30:00,1.3021
2016-07-06 05:30:00,1.2921
2016-07-07 05:30:00,1.2926
2016-07-11 05:30:00,1.2986
2016-07-12 05:30:00,1.3237
2016-07-13 05:30:00,1.318
2016-07-14 05:30:00,1.3332
2016-07-15 05:30:00,1.3194
2016-07-19 05:30:00,1.3123
2016-07-20 05:30:00,1.3179
2016-07-21 05:30:00,1.3216
2016-07-22 05:30:00,1.3091
2016-07-25 05:30:00,1.313
2016-07-26 05:30:00,1.3133
2016-07-27 05:30:00,1.3094
2016-07-29 05:30:00,1.327
2016-08-01 05:30:00,1.3209
2016-08-02 05:30:00,1.3326
2016-08-03 05:30:00,1.3335
2016-08-04 05:30:00,1.3143
2016-08-05 05:30:00,1.3069
2016-08-08 05:30:00,1.3042
2016-08-09 05:30:00,1.301
2016-08-10 05:30:00,1.2998
2016-08-11 05:30:00,1.296
2016-08-12 05:30:00,1.2934
2016-08-15 05:30:00,1.2874
2016-08-16 05:30:00,1.3019
2016-08-17 05:30:00,1.3012
2016-08-18 05:30:00,1.3147
2016-08-19 05:30:00,1.3061
2016-08-22 05:30:00,1.3133
2016-08-23 05:30:00,1.3179
2016-08-24 05:30:00,1.3236
2016-08-25 05:30:00,1.3177
2016-08-26 05:30:00,1.3168
2016-08-29 05:30:00,1.3089
2016-08-30 05:30:00,1.3084
2016-08-31 05:30:00,1.3129
2016-09-01 05:30:00,1.3273
2016-09-02 05:30:00,1.3299
2016-09-05 05:30:00,None
2016-09-07 05:30:00,1.3339
2016-09-08 05:30:00,1.3301
2016-09-09 05:30:00,1.3257
2016-09-12 05:30:00,1.3313
2016-09-13 05:30:00,1.3184
2016-09-14 05:30:00,1.3204
2016-09-15 05:30:00,1.3215
2016-09-19 05:30:00,1.3051
2016-09-20 05:30:00,1.2974
2016-09-21 05:30:00,1.2978
2016-09-22 05:30:00,1.3092
2016-09-23 05:30:00,1.2959
2016-09-27 05:30:00,1.3005
2016-09-28 05:30:00,1.2996
2016-09-29 05:30:00,1.2991
2016-09-30 05:30:00,1.3015
2016-10-03 05:30:00,1.284
2016-10-04 05:30:00,1.2746
2016-10-05 05:30:00,1.2745
2016-10-07 05:30:00,1.2434
2016-10-10 05:30:00,None
2016-10-11 05:30:00,1.2218
2016-10-12 05:30:00,1.2195
2016-10-13 05:30:00,1.2201
2016-10-14 05:30:00,1.2189
2016-10-17 05:30:00,1.2186
2016-10-18 05:30:00,1.231
2016-10-19 05:30:00,1.2279
2016-10-20 05:30:00,1.2256
2016-10-21 05:30:00,1.221
2016-10-24 05:30:00,1.2204
2016-10-25 05:30:00,1.2164
2016-10-26 05:30:00,1.2234
2016-10-27 05:30:00,1.2173
2016-10-28 05:30:00,1.2155
2016-10-31 05:30:00,1.2212
2016-11-01 05:30:00,1.2218
2016-11-02 05:30:00,1.2315
2016-11-03 05:30:00,1.2454
2016-11-04 05:30:00,1.2546
2016-11-07 05:30:00,1.2403
2016-11-08 05:30:00,1.2372
2016-11-09 05:30:00,1.2474
2016-11-10 05:30:00,1.2523
2016-11-11 05:30:00,None
2016-11-14 05:30:00,1.2469
2016-11-16 05:30:00,1.245
2016-11-17 05:30:00,1.245
2016-11-18 05:30:00,1.2327
2016-11-21 05:30:00,1.2474
2016-11-22 05:30:00,1.2424
2016-11-23 05:30:00,1.2458
2016-11-24 05:30:00,None
2016-11-28 05:30:00,1.2411
2016-11-29 05:30:00,1.2505
2016-11-30 05:30:00,1.2481
2016-12-01 05:30:00,1.2596
2016-12-02 05:30:00,1.2685
2016-12-06 05:30:00,1.2706
2016-12-07 05:30:00,1.2604
2016-12-08 05:30:00,1.2574
2016-12-09 05:30:00,1.259
2016-12-12 05:30:00,1.2677
2016-12-13 05:30:00,1.2685
2016-12-14 05:30:00,1.2706
2016-12-16 05:30:00,1.2478
2016-12-19 05:30:00,1.2419
2016-12-20 05:30:00,1.2358
2016-12-21 05:30:00,1.2348
2016-12-22 05:30:00,1.2301
2016-12-23 05:30:00,1.2252
2016-12-26 05:30:00,None
2016-12-27 05:30:00,1.2261
2016-12-28 05:30:00,1.2222
2016-12-29 05:30:00,1.2237
2016-12-30 05:30:00,1.2337
2017-01-02 05:30:00,None
2017-01-03 05:30:00,1.2256
2017-01-04 05:30:00,1.2299
2017-01-05 05:30:00,1.2415
2017-01-06 05:30:00,1.2314
2017-01-09 05:30:00,1.2167
2017-01-10 05:30:00,1.2165
2017-01-11 05:30:00,1.2118
2017-01-12 05:30:00,1.2211
2017-01-13 05:30:00,1.2198
2017-01-16 05:30:00,None
2017-01-17 05:30:00,1.2388
2017-01-18 05:30:00,1.2309
2017-01-19 05:30:00,1.2319
2017-01-20 05:30:00,None
2017-01-23 05:30:00,1.2485
2017-01-25 05:30:00,1.262
2017-01-26 05:30:00,1.2579
2017-01-27 05:30:00,1.2531
2017-01-30 05:30:00,1.2478
2017-01-31 05:30:00,1.2585
2017-02-01 05:30:00,1.2643
2017-02-02 05:30:00,1.2541
2017-02-06 05:30:00,1.245
2017-02-07 05:30:00,1.2486
2017-02-08 05:30:00,1.2543
2017-02-09 05:30:00,1.2516
2017-02-10 05:30:00,1.2502
2017-02-14 05:30:00,1.2465
2017-02-15 05:30:00,1.2465
2017-02-16 05:30:00,1.2477
2017-02-17 05:30:00,1.2428
2017-02-20 05:30:00,None
2017-02-21 05:30:00,1.2465
2017-02-22 05:30:00,1.2456
2017-02-24 05:30:00,1.2499
2017-02-27 05:30:00,1.2473
2017-02-28 05:30:00,1.2427
2017-03-01 05:30:00,1.2318
2017-03-02 05:30:00,1.2267
2017-03-03 05:30:00,1.2249
2017-03-06 05:30:00,1.2243
2017-03-07 05:30:00,1.2209
2017-03-08 05:30:00,1.2152
2017-03-09 05:30:00,1.2166
2017-03-10 05:30:00,1.2158
2017-03-13 05:30:00,1.2234
2017-03-14 05:30:00,1.2168
2017-03-15 05:30:00,1.2222
2017-03-16 05:30:00,1.237
2017-03-17 05:30:00,1.2372
2017-03-20 05:30:00,1.2365
2017-03-21 05:30:00,1.2479
2017-03-22 05:30:00,1.2476
2017-03-23 05:30:00,1.2526
2017-03-24 05:30:00,1.2491
2017-03-27 05:30:00,1.2583
2017-03-28 05:30:00,1.2503
2017-03-29 05:30:00,1.2411
2017-03-30 05:30:00,1.2489
2017-03-31 05:30:00,1.2537
2017-04-03 05:30:00,1.2479
2017-04-05 05:30:00,1.2488
2017-04-06 05:30:00,1.2486
2017-04-07 05:30:00,1.2398
2017-04-10 05:30:00,1.2418
2017-04-11 05:30:00,1.2484
2017-04-12 05:30:00,1.25
2017-04-13 05:30:00,1.2522
2017-04-17 05:30:00,1.2587
2017-04-18 05:30:00,1.2769
2017-04-19 05:30:00,1.2789
2017-04-20 05:30:00,1.283
2017-04-21 05:30:00,1.2783
2017-04-25 05:30:00,1.2836
2017-04-26 05:30:00,1.2838
2017-04-27 05:30:00,1.2889
2017-04-28 05:30:00,1.2938
2017-05-01 05:30:00,1.2917
2017-05-02 05:30:00,1.2921
2017-05-03 05:30:00,1.2916
2017-05-05 05:30:00,1.295
2017-05-08 05:30:00,1.2942
2017-05-09 05:30:00,1.2939
2017-05-10 05:30:00,1.2939
2017-05-11 05:30:00,1.2885
2017-05-12 05:30:00,1.288
2017-05-15 05:30:00,1.2917
2017-05-16 05:30:00,1.2912
2017-05-17 05:30:00,1.2944
2017-05-18 05:30:00,1.3009
2017-05-19 05:30:00,1.3018
2017-05-22 05:30:00,1.3006
2017-05-23 05:30:00,1.2984
2017-05-24 05:30:00,1.2935
2017-05-25 05:30:00,1.2954
2017-05-26 05:30:00,1.2795
2017-05-29 05:30:00,None
2017-05-30 05:30:00,1.2858
2017-05-31 05:30:00,1.2905
2017-06-01 05:30:00,1.2894
2017-06-02 05:30:00,1.2885
2017-06-05 05:30:00,1.2917
2017-06-06 05:30:00,1.2901
2017-06-07 05:30:00,1.2941
2017-06-08 05:30:00,1.2939
2017-06-09 05:30:00,1.2737
2017-06-12 05:30:00,1.2658
2017-06-14 05:30:00,1.2808
2017-06-15 05:30:00,1.2768
2017-06-16 05:30:00,1.2778
2017-06-19 05:30:00,1.2743
2017-06-20 05:30:00,1.2628
2017-06-21 05:30:00,1.2667
2017-06-22 05:30:00,1.2659
2017-06-26 05:30:00,1.2732
2017-06-27 05:30:00,1.2791
2017-06-28 05:30:00,1.2936
2017-06-29 05:30:00,1.2984
2017-06-30 05:30:00,1.2995
2017-07-04 05:30:00,None
2017-07-05 05:30:00,1.2934
2017-07-06 05:30:00,1.2967
2017-07-07 05:30:00,1.288
2017-07-10 05:30:00,1.2884
2017-07-11 05:30:00,1.2851
2017-07-12 05:30:00,1.2889
2017-07-14 05:30:00,1.3079
2017-07-17 05:30:00,1.3058
2017-07-18 05:30:00,1.3026
2017-07-19 05:30:00,1.3036
2017-07-20 05:30:00,1.2976
2017-07-21 05:30:00,1.2968
2017-07-24 05:30:00,1.3028
2017-07-25 05:30:00,1.3046
2017-07-26 05:30:00,1.3048
2017-07-27 05:30:00,1.3065
2017-07-28 05:30:00,1.3124
2017-07-31 05:30:00,1.3196
2017-08-01 05:30:00,1.3206
2017-08-02 05:30:00,1.3236
2017-08-03 05:30:00,1.3144
2017-08-04 05:30:00,1.3036
2017-08-07 05:30:00,1.3021
2017-08-08 05:30:00,1.2968
2017-08-09 05:30:00,1.2997
2017-08-10 05:30:00,1.2978
2017-08-11 05:30:00,1.2988
2017-08-14 05:30:00,1.2975
2017-08-15 05:30:00,1.2862
2017-08-16 05:30:00,1.286
2017-08-17 05:30:00,1.2888
2017-08-18 05:30:00,1.2847
2017-08-21 05:30:00,1.2903
2017-08-23 05:30:00,1.2787
2017-08-24 05:30:00,1.2802
2017-08-25 05:30:00,1.2873
2017-08-28 05:30:00,1.2927
2017-08-29 05:30:00,1.2937
2017-08-30 05:30:00,1.2934
2017-08-31 05:30:00,1.2888
2017-09-04 05:30:00,None
2017-09-05 05:30:00,1.3013
2017-09-06 05:30:00,1.3073
2017-09-07 05:30:00,1.3094
2017-09-08 05:30:00,1.3211
2017-09-12 05:30:00,1.328
2017-09-13 05:30:00,1.3218
2017-09-14 05:30:00,1.3398
2017-09-15 05:30:00,1.3578
2017-09-18 05:30:00,1.3485
2017-09-19 05:30:00,1.3517
2017-09-20 05:30:00,1.3564
2017-09-22 05:30:00,1.3531
2017-09-25 05:30:00,1.3457
2017-09-26 05:30:00,1.3422
2017-09-27 05:30:00,1.3401
2017-09-28 05:30:00,1.3435
2017-09-29 05:30:00,1.3402
2017-10-02 05:30:00,1.3268
2017-10-03 05:30:00,1.3251
2017-10-04 05:30:00,1.3268
2017-10-05 05:30:00,1.3132
2017-10-06 05:30:00,1.3063
2017-10-09 05:30:00,None
2017-10-10 05:30:00,1.3215
2017-10-11 05:30:00,1.321
2017-10-12 05:30:00,1.3174
2017-10-13 05:30:00,1.3304
2017-10-16 05:30:00,1.3285
2017-10-17 05:30:00,1.3182
2017-10-18 05:30:00,1.3183
2017-10-19 05:30:00,1.3181
2017-10-20 05:30:00,1.3179
2017-10-23 05:30:00,1.3201
2017-10-24 05:30:00,1.3124
2017-10-25 05:30:00,1.3252
2017-10-26 05:30:00,1.3181
2017-10-27 05:30:00,1.3108
2017-10-30 05:30:00,1.3195
2017-11-01 05:30:00,1.3257
2017-11-02 05:30:00,1.3068
2017-11-03 05:30:00,1.3067
2017-11-06 05:30:00,1.3145
2017-11-07 05:30:00,1.3152
2017-11-08 05:30:00,1.3108
2017-11-09 05:30:00,1.3133
2017-11-13 05:30:00,1.3101
2017-11-14 05:30:00,1.3128
2017-11-15 05:30:00,1.3165
2017-11-16 05:30:00,1.3197
2017-11-17 05:30:00,1.3222
2017-11-21 05:30:00,1.3232
2017-11-22 05:30:00,1.3291
2017-11-23 05:30:00,None
2017-11-24 05:30:00,1.3336
2017-11-27 05:30:00,1.3333
2017-11-28 05:30:00,1.3231
2017-11-29 05:30:00,1.3436
2017-12-01 05:30:00,1.3505
2017-12-04 05:30:00,1.3465
2017-12-05 05:30:00,1.345
2017-12-06 05:30:00,1.3382
2017-12-07 05:30:00,1.3432
2017-12-08 05:30:00,1.3367
2017-12-11 05:30:00,1.3363
2017-12-12 05:30:00,1.3323
2017-12-13 05:30:00,1.3365
2017-12-14 05:30:00,1.344
2017-12-15 05:30:00,1.3316
2017-12-18 05:30:00,1.3398
2017-12-19 05:30:00,1.3356
2017-12-20 05:30:00,1.3408
2017-12-21 05:30:00,1.3372
2017-12-22 05:30:00,1.3379
2017-12-25 05:30:00,None
2017-12-26 05:30:00,1.3369
2017-12-27 05:30:00,1.3403
2017-12-28 05:30:00,1.345
2017-12-29 05:30:00,1.3529
2018-01-01 05:30:00,None
2018-01-02 05:30:00,1.3596
2018-01-03 05:30:00,1.3522
2018-01-04 05:30:00,1.3539
2018-01-05 05:30:00,1.3562
2018-01-08 05:30:00,1.3566
2018-01-10 05:30:00,1.3513
2018-01-11 05:30:00,1.3543
2018-01-12 05:30:00,1.3689
2018-01-15 05:30:00,None
2018-01-16 05:30:00,1.3774
2018-01-17 05:30:00,1.3824
2018-01-18 05:30:00,1.3889
2018-01-22 05:30:00,1.3944
2018-01-23 05:30:00,1.3968
2018-01-24 05:30:00,1.4198
2018-01-25 05:30:00,1.4264
2018-01-26 05:30:00,1.4179
2018-01-30 05:30:00,1.4124
2018-01-31 05:30:00,1.419
2018-02-01 05:30:00,1.4247
2018-02-02 05:30:00,1.4126
2018-02-05 05:30:00,1.4022
2018-02-06 05:30:00,1.3951
2018-02-07 05:30:00,1.3881
2018-02-09 05:30:00,1.3794
2018-02-12 05:30:00,1.382
2018-02-13 05:30:00,1.3892
2018-02-14 05:30:00,1.3955
2018-02-15 05:30:00,1.4061
2018-02-16 05:30:00,1.4055
2018-02-19 05:30:00,None
2018-02-20 05:30:00,1.4021
2018-02-21 05:30:00,1.3946
2018-02-22 05:30:00,1.3939
2018-02-23 05:30:00,1.3979
2018-02-26 05:30:00,1.3952
2018-02-27 05:30:00,1.3906
2018-02-28 05:30:00,1.3794
2018-03-01 05:30:00,1.3755
2018-03-02 05:30:00,1.3769
2018-03-05 05:30:00,1.3856
2018-03-06 05:30:00,1.3886
2018-03-07 05:30:00,1.3888
2018-03-08 05:30:00,1.3824
2018-03-09 05:30:00,1.3863
2018-03-12 05:30:00,1.3898
2018-03-13 05:30:00,1.3987
2018-03-14 05:30:00,1.3946
2018-03-15 05:30:00,1.3951
2018-03-16 05:30:00,1.3919
2018-03-19 05:30:00,1.4032
2018-03-21 05:30:00,1.4064
2018-03-22 05:30:00,1.4098
2018-03-23 05:30:00,1.4151
2018-03-26 05:30:00,1.4236
2018-03-27 05:30:00,1.4161
2018-03-28 05:30:00,1.411
2018-03-29 05:30:00,1.4029
2018-04-02 05:30:00,1.4032
2018-04-03 05:30:00,1.4068
2018-04-04 05:30:00,1.4076
2018-04-05 05:30:00,1.3991
2018-04-06 05:30:00,1.4088
2018-04-10 05:30:00,1.4161
2018-04-11 05:30:00,1.4194
2018-04-12 05:30:00,1.4244
2018-04-13 05:30:00,1.4255
2018-04-16 05:30:00,1.4332
2018-04-17 05:30:00,1.4301
2018-04-18 05:30:00,1.4227
2018-04-20 05:30:00,1.4033
2018-04-23 05:30:00,1.3953
2018-04-24 05:30:00,1.3975
2018-04-25 05:30:00,1.3941
2018-04-26 05:30:00,1.3927
2018-04-27 05:30:00,1.3785
2018-04-30 05:30:00,1.3751
2018-05-01 05:30:00,1.3611
2018-05-02 05:30:00,1.361
2018-05-03 05:30:00,1.3569
2018-05-04 05:30:00,1.3535
2018-05-07 05:30:00,1.3567
2018-05-08 05:30:00,1.3521
2018-05-09 05:30:00,1.3567
2018-05-10 05:30:00,1.3487
2018-05-11 05:30:00,1.3549
2018-05-14 05:30:00,1.3595
2018-05-15 05:30:00,1.3512
2018-05-16 05:30:00,1.3478
2018-05-17 05:30:00,1.3507
2018-05-18 05:30:00,1.3476
2018-05-21 05:30:00,1.3418
2018-05-22 05:30:00,1.3445
2018-05-23 05:30:00,1.3341
2018-05-24 05:30:00,1.3384
2018-05-25 05:30:00,1.3321
2018-05-28 05:30:00,None
2018-05-30 05:30:00,1.3296
2018-05-31 05:30:00,1.3289
2018-06-01 05:30:00,1.3358
2018-06-04 05:30:00,1.3314
2018-06-05 05:30:00,1.336
2018-06-06 05:30:00,1.3429
2018-06-07 05:30:00,1.3427
2018-06-11 05:30:00,1.3386
2018-06-12 05:30:00,1.3416
2018-06-13 05:30:00,1.3378
2018-06-14 05:30:00,1.3333
2018-06-15 05:30:00,1.3283
2018-06-19 05:30:00,1.3172
2018-06-20 05:30:00,1.3213
2018-06-21 05:30:00,1.3251
2018-06-22 05:30:00,1.3258
2018-06-25 05:30:00,1.3273
2018-06-26 05:30:00,1.3243
2018-06-27 05:30:00,1.3139
2018-06-29 05:30:00,1.3197
2018-07-02 05:30:00,1.3133
2018-07-03 05:30:00,1.3174
2018-07-04 05:30:00,None
2018-07-05 05:30:00,1.3228
2018-07-06 05:30:00,1.3262
2018-07-09 05:30:00,1.3202
2018-07-10 05:30:00,1.3266
2018-07-11 05:30:00,1.3241
2018-07-12 05:30:00,1.3238
2018-07-13 05:30:00,1.3216
2018-07-16 05:30:00,1.3236
2018-07-17 05:30:00,1.3161
2018-07-18 05:30:00,1.305
2018-07-19 05:30:00,1.2987
2018-07-20 05:30:00,1.3114
2018-07-23 05:30:00,1.3105
2018-07-24 05:30:00,1.3135
2018-07-25 05:30:00,1.315
2018-07-26 05:30:00,1.3119
2018-07-27 05:30:00,1.3118
2018-07-30 05:30:00,1.314
2018-07-31 05:30:00,1.3125
2018-08-01 05:30:00,1.312
2018-08-02 05:30:00,1.3035
2018-08-03 05:30:00,1.3021
2018-08-06 05:30:00,1.2947
2018-08-08 05:30:00,1.288
2018-08-09 05:30:00,1.287
2018-08-10 05:30:00,1.2769
2018-08-13 05:30:00,1.2757
2018-08-14 05:30:00,1.2738
2018-08-15 05:30:00,1.2685
2018-08-16 05:30:00,1.2722
2018-08-20 05:30:00,1.2765
2018-08-21 05:30:00,1.286
2018-08-22 05:30:00,1.291
2018-08-23 05:30:00,1.283
2018-08-24 05:30:00,1.2858
2018-08-28 05:30:00,1.2886
2018-08-29 05:30:00,1.3006
2018-08-30 05:30:00,1.2997
2018-08-31 05:30:00,1.2964
2018-09-03 05:30:00,None
2018-09-04 05:30:00,1.2833
2018-09-05 05:30:00,1.2903
2018-09-07 05:30:00,1.2934
2018-09-10 05:30:00,1.3026
2018-09-11 05:30:00,1.3015
2018-09-12 05:30:00,1.3029
2018-09-13 05:30:00,1.3104
2018-09-14 05:30:00,1.3084
2018-09-17 05:30:00,1.3146
2018-09-18 05:30:00,1.3158
2018-09-19 05:30:00,1.3162
2018-09-20 05:30:00,1.3237
2018-09-21 05:30:00,1.3067
2018-09-24 05:30:00,1.3128
2018-09-25 05:30:00,1.3162
2018-09-26 05:30:00,1.3182
2018-09-27 05:30:00,1.3104
2018-09-28 05:30:00,1.3053
2018-10-01 05:30:00,1.3032
2018-10-02 05:30:00,1.2984
2018-10-03 05:30:00,1.2993
2018-10-04 05:30:00,1.3014
2018-10-05 05:30:00,1.3101
2018-10-08 05:30:00,None
2018-10-09 05:30:00,1.3139
2018-10-10 05:30:00,1.3206
2018-10-11 05:30:00,1.3193
2018-10-12 05:30:00,1.3154
2018-10-15 05:30:00,1.3168
2018-10-17 05:30:00,1.3137
2018-10-18 05:30:00,1.3061
2018-10-19 05:30:00,1.3045
2018-10-22 05:30:00,1.2974
2018-10-23 05:30:00,1.2982
2018-10-24 05:30:00,1.2898
2018-10-25 05:30:00,1.2827
2018-10-29 05:30:00,1.2807
2018-10-30 05:30:00,1.2731
2018-10-31 05:30:00,1.2779
2018-11-01 05:30:00,1.2974
2018-11-02 05:30:00,1.2965
2018-11-06 05:30:00,1.3076
2018-11-07 05:30:00,1.3144
2018-11-08 05:30:00,1.3116
2018-11-09 05:30:00,1.2978
2018-11-12 05:30:00,None
2018-11-13 05:30:00,1.3031
2018-11-14 05:30:00,1.3011
2018-11-16 05:30:00,1.2839
2018-11-19 05:30:00,1.2842
2018-11-20 05:30:00,1.2809
2018-11-21 05:30:00,1.2776
2018-11-22 05:30:00,None
2018-11-23 05:30:00,1.2804
2018-11-26 05:30:00,1.2809
2018-11-27 05:30:00,1.2729
2018-11-28 05:30:00,1.2766
2018-11-29 05:30:00,1.2789
2018-11-30 05:30:00,1.2772
2018-12-03 05:30:00,1.2742
2018-12-04 05:30:00,1.2719
2018-12-05 05:30:00,None
2018-12-06 05:30:00,1.2777
2018-12-07 05:30:00,1.2749
2018-12-10 05:30:00,1.2558
2018-12-11 05:30:00,1.2524
2018-12-12 05:30:00,1.2658
2018-12-13 05:30:00,1.2635
2018-12-14 05:30:00,1.257
2018-12-17 05:30:00,1.2606
2018-12-18 05:30:00,1.2644
2018-12-19 05:30:00,1.2669
2018-12-20 05:30:00,1.265
2018-12-21 05:30:00,1.2681
2018-12-24 05:30:00,None
2018-12-26 05:30:00,1.2676
2018-12-27 05:30:00,1.2627
2018-12-28 05:30:00,1.2699
2018-12-31 05:30:00,1.2763
2019-01-01 05:30:00,None
2019-01-02 05:30:00,1.2598
2019-01-03 05:30:00,1.2633
2019-01-07 05:30:00,1.2757
2019-01-08 05:30:00,1.2724
2019-01-09 05:30:00,1.2764
2019-01-10 05:30:00,1.2768
2019-01-11 05:30:00,1.2836
2019-01-15 05:30:00,1.2761
2019-01-16 05:30:00,1.2862
2019-01-17 05:30:00,1.294
2019-01-18 05:30:00,1.2898
2019-01-21 05:30:00,None
2019-01-22 05:30:00,1.2955
2019-01-23 05:30:00,1.3074
2019-01-25 05:30:00,1.3176
2019-01-28 05:30:00,1.3158
2019-01-29 05:30:00,1.3146
2019-01-30 05:30:00,1.3062
2019-01-31 05:30:00,1.3135
